"content_id","rarity","card_url"
"127642","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127642.webp"
"126508","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126508.webp"
"2502653","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2502653.webp"
"129631","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129631.webp"
"2751248","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2751248.webp"
"127220","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127220.webp"
"127590","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127590.webp"
"127670","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127670.webp"
"126020","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126020.webp"
"127800","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127800.webp"
"125813","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125813.webp"
"125817","LEGENDARY","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125817.webp"
"126012","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126012.webp"
"126023","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126023.webp"
"125591","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125591.webp"
"127575","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127575.webp"
"705590","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/705590.webp"
"125564","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125564.webp"
"3553902","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/3553902.webp"
"126833","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126833.webp"
"125990","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125990.webp"
"125949","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125949.webp"
"125555","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125555.webp"
"125981","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125981.webp"
"126078","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126078.webp"
"128767","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128767.webp"
"126081","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126081.webp"
"127490","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127490.webp"
"126695","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126695.webp"
"127585","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127585.webp"
"126106","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126106.webp"
"126438","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126438.webp"
"2614828","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2614828.webp"
"127336","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127336.webp"
"2779504","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2779504.webp"
"2366916","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2366916.webp"
"2492348","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2492348.webp"
"129703","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129703.webp"
"1796079","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/v1787887345/triplog/cards/1796079.webp"
"132183","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/132183.webp"
"132190","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/132190.webp"
"132532","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/132532.webp"
"2010199","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2010199.webp"
"126237","EPIC","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126237.webp"
"130420","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/130420.webp"
"128834","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128834.webp"
"2675068","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2675068.webp"
"128202","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128202.webp"
"129443","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129443.webp"
"1871383","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1871383.webp"
"1919548","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1919548.webp"
"264512","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/264512.webp"
"3545967","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/3545967.webp"
"125534","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125534.webp"
"126186","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126186.webp"
"127669","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127669.webp"
"128972","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128972.webp"
"125896","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125896.webp"
"126175","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126175.webp"
"126848","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126848.webp"
"2709995","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2709995.webp"
"128022","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128022.webp"
"128184","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128184.webp"
"127515","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127515.webp"
"1720749","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1720749.webp"
"1621360","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1621360.webp"
"1115613","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1115613.webp"
"2738026","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2738026.webp"
"2524187","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2524187.webp"
"126658","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126658.webp"
"2684712","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2684712.webp"
"1614282","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1614282.webp"
"2465107","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2465107.webp"
"126537","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126537.webp"
"2470006","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2470006.webp"
"129785","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129785.webp"
"2714817","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2714817.webp"
"264284","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/264284.webp"
"1013246","RARE","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1013246.webp"
"127804","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127804.webp"
"125984","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125984.webp"
"2519536","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2519536.webp"
"127916","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127916.webp"
"125913","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125913.webp"
"2800692","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2800692.webp"
"127548","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127548.webp"
"2649975","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2649975.webp"
"127797","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127797.webp"
"125578","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125578.webp"
"128918","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128918.webp"
"125790","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/125790.webp"
"128019","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/128019.webp"
"126729","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126729.webp"
"129479","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129479.webp"
"126207","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126207.webp"
"127977","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127977.webp"
"1997202","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/1997202.webp"
"126730","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126730.webp"
"2662745","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/2662745.webp"
"127869","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/127869.webp"
"126397","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126397.webp"
"126452","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126452.webp"
"894027","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/894027.webp"
"126737","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/126737.webp"
"129489","COMMON","https://res.cloudinary.com/pvswis5a/image/upload/triplog/cards/129489.webp"
